Titre,Texte,Etoiles,text,label,language,clean_text
C'était une expérience formidable,"C'était une expérience formidable, merci beaucoup Shein",5,"C'était une expérience formidable C'était une expérience formidable, merci beaucoup Shein",1,fr,cétait expérience formidable cétait expérience formidable merci beaucoup shein
"Bonjour,","Bonjour,
Il y avait 3 articles manquants dans lon colis. De plus certains articles ne sont pas repris.",1,"Bonjour, Bonjour,
Il y avait 3 articles manquants dans lon colis. De plus certains articles ne sont pas repris.",0,fr,bonjour bonjour 3 articles manquants lon colis plus certains articles repris
Plutôt satisfaite :),90% des articles commandés étaient conformes à ce que j’avais commandé . Pour le restant les photos ne correspondaient pas vraiment. Niveau qualité c’est aléatoire,4,Plutôt satisfaite :) 90% des articles commandés étaient conformes à ce que j’avais commandé . Pour le restant les photos ne correspondaient pas vraiment. Niveau qualité c’est aléatoire,1,fr,plutôt satisfaite 90 articles commandés conformes ’ commandé restant photos correspondaient vraiment niveau qualité ’ aléatoire
J'ai passé plusieurs commandes et à…,J'ai passé plusieurs commandes et à chaque fois j'ai eu ce que j'ai commandé. Les délais sont raisonnables et on peut suivre la commande de la préparation à la réception .,5,J'ai passé plusieurs commandes et à… J'ai passé plusieurs commandes et à chaque fois j'ai eu ce que j'ai commandé. Les délais sont raisonnables et on peut suivre la commande de la préparation à la réception .,1,fr,jai passé plusieurs commandes à… jai passé plusieurs commandes chaque fois jai jai commandé délais raisonnables peut suivre commande préparation réception
VOLEUR,Colis affiché comme livré alors que je n’ai rien dans ma boîte aux lettres et SHEIN ne font rien pour m’aider à le récupéré c’est honteux.,1,VOLEUR Colis affiché comme livré alors que je n’ai rien dans ma boîte aux lettres et SHEIN ne font rien pour m’aider à le récupéré c’est honteux.,0,fr,voleur colis affiché comme livré alors ’ rien boîte lettres shein font rien ’ aider récupéré ’ honteux
Au top,"J’adore! Les t shirt, blouses, les sandales, les robes et les accessoires pour animaux sont extras et pas cher",5,"Au top J’adore! Les t shirt, blouses, les sandales, les robes et les accessoires pour animaux sont extras et pas cher",1,fr,top ’ adore shirt blouses sandales robes accessoires animaux extras cher
Tjr satisfaite 👍👍👍😍,Date de l'expérience: 21 avril 2025,5,Tjr satisfaite 👍👍👍😍 Date de l'expérience: 21 avril 2025,1,fr,tjr satisfaite 👍👍👍😍 date lexpérience 21 avril 2025
Bonjour très contente des articles des…,Bonjour très contente des articles des trop grands des fois petit tout et super 👍👍👍,5,Bonjour très contente des articles des… Bonjour très contente des articles des trop grands des fois petit tout et super 👍👍👍,1,fr,bonjour très contente articles des… bonjour très contente articles trop grands fois petit tout super 👍👍👍
j aprecie tout chez shein les…,j aprecie tout chez shein les articles sont tres biens et pas cher,5,j aprecie tout chez shein les… j aprecie tout chez shein les articles sont tres biens et pas cher,1,fr,aprecie tout chez shein les… aprecie tout chez shein articles tres biens cher
ARNARQUE / VOL,"Mondial relay a perdu mon colis
Shein refuse de me rembourser la commande",1,"ARNARQUE / VOL Mondial relay a perdu mon colis
Shein refuse de me rembourser la commande",0,fr,arnarque vol mondial relay perdu colis shein refuse rembourser commande
Impossible de me faire livrer ma…,Impossible de me faire livrer ma dernière commande. On ne peut joindre personne.,1,Impossible de me faire livrer ma… Impossible de me faire livrer ma dernière commande. On ne peut joindre personne.,0,fr,impossible faire livrer ma… impossible faire livrer dernière commande peut joindre personne
Les polos et chemises sont top,"Les polos et chemises sont top, les pantalons à améliorer. Sinon, relation qualité/prix, je recommande",4,"Les polos et chemises sont top Les polos et chemises sont top, les pantalons à améliorer. Sinon, relation qualité/prix, je recommande",1,fr,polos chemises top polos chemises top pantalons améliorer sinon relation qualitéprix recommande
Bon produits,Bon produits. Bon rapport qualité prix.,5,Bon produits Bon produits. Bon rapport qualité prix.,1,fr,bon produits bon produits bon rapport qualité prix
Marchandise de bonne qualité et livraison rapide,"les rideaux sont très bien de bonne qualité et les mesures correspondent à ce que j'ai commandé.
Très satisfaite de mes achats",5,"Marchandise de bonne qualité et livraison rapide les rideaux sont très bien de bonne qualité et les mesures correspondent à ce que j'ai commandé.
Très satisfaite de mes achats",1,fr,marchandise bonne qualité livraison rapide rideaux très bien bonne qualité mesures correspondent jai commandé très satisfaite achats
Livraison rapide et conforme aux articles,Article conforme aux explications et livraison rapidee,4,Livraison rapide et conforme aux articles Article conforme aux explications et livraison rapidee,1,fr,livraison rapide conforme articles article conforme explications livraison rapidee
Très joli à bientôt merci,Date de l'expérience: 22 avril 2025,5,Très joli à bientôt merci Date de l'expérience: 22 avril 2025,1,fr,très joli bientôt merci date lexpérience 22 avril 2025
SHEIN travaille avec un transporteur Cirro qui vole les colis,"Très mauvaise expérience avec SHEIN qui confie les colis au transporteur Cirro qui est champion dans le vol de colis . Maintenant technique bien usée de prendre une photo devant la boîte aux lettres et après se barrer avec le colis .
Le client ne retrouve rien en boîte aux lettres et se fait passer pour un menteur quand il fait une réclamation auprès du service client.
SHEIN a bien perdu en qualité de service, en plus d’une mauvaise foi et d’un manque de considération envers ses clients.
Je dois me résigner à perdre une commande pour un bb qui arrive au monde de 81€",1,"SHEIN travaille avec un transporteur Cirro qui vole les colis Très mauvaise expérience avec SHEIN qui confie les colis au transporteur Cirro qui est champion dans le vol de colis . Maintenant technique bien usée de prendre une photo devant la boîte aux lettres et après se barrer avec le colis .
Le client ne retrouve rien en boîte aux lettres et se fait passer pour un menteur quand il fait une réclamation auprès du service client.
SHEIN a bien perdu en qualité de service, en plus d’une mauvaise foi et d’un manque de considération envers ses clients.
Je dois me résigner à perdre une commande pour un bb qui arrive au monde de 81€",0,fr,shein travaille transporteur cirro vole colis très mauvaise expérience shein confie colis transporteur cirro champion vol colis maintenant technique bien usée prendre photo devant boîte lettres après barrer colis client retrouve rien boîte lettres fait passer menteur quand fait réclamation auprès service client shein bien perdu qualité service plus ’ mauvaise foi ’ manque considération envers clients dois résigner perdre commande bb arrive monde 81€
SOYEZ PRUDENT AU MOMENT DE PAIEMENT,"Je suis vraiment déçu parce que j'ai passé une commande ensuite au moment de paiement le montant n'ai pas passé de conséquence je trouve mon panier vide j'ai recommandé les mêmes articles ensuite je valide le paiement. Le paiement est passé après quelques heures le paiement précédent qui n'était pas passé auparavant est passé quand même.
J'ai voulu le décommander mais la commande était déjà en expédition.Jai reçu un énorme colis c'est à dire 2 colis en 1 . J'ai tout reçu en doublon. Vrai catastrophe.",1,"SOYEZ PRUDENT AU MOMENT DE PAIEMENT Je suis vraiment déçu parce que j'ai passé une commande ensuite au moment de paiement le montant n'ai pas passé de conséquence je trouve mon panier vide j'ai recommandé les mêmes articles ensuite je valide le paiement. Le paiement est passé après quelques heures le paiement précédent qui n'était pas passé auparavant est passé quand même.
J'ai voulu le décommander mais la commande était déjà en expédition.Jai reçu un énorme colis c'est à dire 2 colis en 1 . J'ai tout reçu en doublon. Vrai catastrophe.",0,fr,prudent moment paiement vraiment déçu parce jai passé commande ensuite moment paiement montant nai passé conséquence trouve panier vide jai recommandé mêmes articles ensuite valide paiement paiement passé après quelques heures paiement précédent nétait passé auparavant passé quand jai voulu décommander commande déjà expéditionjai reçu énorme colis cest dire 2 colis 1 jai tout reçu doublon vrai catastrophe
Tout a été très bien,Tout a été très bien. Merci !,5,Tout a été très bien Tout a été très bien. Merci !,1,fr,tout très bien tout très bien merci
J'ai voulu commander un parfum mais…,J'ai voulu commander un parfum mais j'ai laissé tomber trop de publicité impossible de commander dès que je clique une publicité arrive encore une publicité encore une publicité vous faites trop de pub il y a trop de pub j'ai préféré laisser tomber,1,J'ai voulu commander un parfum mais… J'ai voulu commander un parfum mais j'ai laissé tomber trop de publicité impossible de commander dès que je clique une publicité arrive encore une publicité encore une publicité vous faites trop de pub il y a trop de pub j'ai préféré laisser tomber,0,fr,jai voulu commander parfum mais… jai voulu commander parfum jai laissé tomber trop publicité impossible commander dès clique publicité arrive encore publicité encore publicité faites trop pub a trop pub jai préféré laisser tomber
Je pas reçu ma commande et non plus…,Je pas reçu ma commande et non plus mon remboursement alors je plus envie de acheter chez shein,1,Je pas reçu ma commande et non plus… Je pas reçu ma commande et non plus mon remboursement alors je plus envie de acheter chez shein,0,fr,reçu commande non plus… reçu commande non plus remboursement alors plus envie acheter chez shein
Très Bon rapport qualité -prix,"Très Bon rapport qualité -prix. la livraison est rapide , c'est parfait",5,"Très Bon rapport qualité -prix Très Bon rapport qualité -prix. la livraison est rapide , c'est parfait",1,fr,très bon rapport qualité prix très bon rapport qualité prix livraison rapide cest parfait
robes cérémonie,beaucoup de choix et possibilité de renvoyer sans frais de retour,5,robes cérémonie beaucoup de choix et possibilité de renvoyer sans frais de retour,1,fr,robes cérémonie beaucoup choix possibilité renvoyer sans frais retour
Les livraisons sont rapides toujours en…,Les livraisons sont rapides toujours en bon état. Et les articles correspondent aux photos,5,Les livraisons sont rapides toujours en… Les livraisons sont rapides toujours en bon état. Et les articles correspondent aux photos,1,fr,livraisons rapides toujours en… livraisons rapides toujours bon état articles correspondent photos
rapidité de livraison,"rapidité de livraison, bon produit",5,"rapidité de livraison rapidité de livraison, bon produit",1,fr,rapidité livraison rapidité livraison bon produit
Vêtement conforme aux images,"Le tarif est un atout chez shein
Dmage pour la qualité des tissus quelquefois
J aimerai Plu de matières en coton pour les tee shirt et dudrapde coton pojrles blazers
Cela apporterai du P'us à la qualité et peu être quantite",4,"Vêtement conforme aux images Le tarif est un atout chez shein
Dmage pour la qualité des tissus quelquefois
J aimerai Plu de matières en coton pour les tee shirt et dudrapde coton pojrles blazers
Cela apporterai du P'us à la qualité et peu être quantite",1,fr,vêtement conforme images tarif atout chez shein dmage qualité tissus quelquefois aimerai plu matières coton tee shirt dudrapde coton pojrles blazers cela apporterai pus qualité peu être quantite
Tout est excellent …,"Sincèrement les produits sur le site sont variés et surtout avec d'excellentes idées de rangement, de style. À des prix très concurrentiels. Personnellement j'adore",5,"Tout est excellent … Sincèrement les produits sur le site sont variés et surtout avec d'excellentes idées de rangement, de style. À des prix très concurrentiels. Personnellement j'adore",1,fr,tout excellent … sincèrement produits site variés surtout dexcellentes idées rangement style prix très concurrentiels personnellement jadore
Très satisfaite,Très satisfaite de la qualité et de la livraison rapide,5,Très satisfaite Très satisfaite de la qualité et de la livraison rapide,1,fr,très satisfaite très satisfaite qualité livraison rapide
Tout était bien,Toujours aussi rapide et satisfaite d ma commande,5,Tout était bien Toujours aussi rapide et satisfaite d ma commande,1,fr,tout bien toujours aussi rapide satisfaite commande
Je suis toujours très contente de mes…,"Je suis toujours très contente de mes achats chez vous, et pas de soucis pour les retours, les commentaires aide toujours beaucoup",5,"Je suis toujours très contente de mes… Je suis toujours très contente de mes achats chez vous, et pas de soucis pour les retours, les commentaires aide toujours beaucoup",1,fr,toujours très contente mes… toujours très contente achats chez soucis retours commentaires aide toujours beaucoup
Je suis très satisfaite de mes achats.,Date de l'expérience: 22 avril 2025,5,Je suis très satisfaite de mes achats. Date de l'expérience: 22 avril 2025,1,fr,très satisfaite achats date lexpérience 22 avril 2025
J'aime shein pour sa livraison rapide,"J'aime shein pour sa livraison rapide, et j'aime bien fa9 du shopping sur shein car les prix sont abordables",5,"J'aime shein pour sa livraison rapide J'aime shein pour sa livraison rapide, et j'aime bien fa9 du shopping sur shein car les prix sont abordables",1,fr,jaime shein livraison rapide jaime shein livraison rapide jaime bien fa9 shopping shein car prix abordables
Toujours satisfaite,"Livraison dans les délais annoncés
J’ai reçu tous les produits, bien emballé,
Tous les produits sont identiques aux photos",5,"Toujours satisfaite Livraison dans les délais annoncés
J’ai reçu tous les produits, bien emballé,
Tous les produits sont identiques aux photos",1,fr,toujours satisfaite livraison délais annoncés ’ reçu tous produits bien emballé tous produits identiques photos
Rapport qualité prix très bon,"Rapport qualité prix très bon
Le délai de livraison s'est bien amélioré
Les retours sont très simples et de surcroît gratuits .
Vos prix sont extrêmement compétitifs si bien que je ne m'habille plus que chez vous. Pourvu que ça dure!",5,"Rapport qualité prix très bon Rapport qualité prix très bon
Le délai de livraison s'est bien amélioré
Les retours sont très simples et de surcroît gratuits .
Vos prix sont extrêmement compétitifs si bien que je ne m'habille plus que chez vous. Pourvu que ça dure!",1,fr,rapport qualité prix très bon rapport qualité prix très bon délai livraison sest bien amélioré retours très simples surcroît gratuits prix extrêmement compétitifs si bien mhabille plus chez pourvu ça dure
Bravo shein,"Shein reste un concurrent très sérieux sur le marché français, contre la vie chère avec des produits de grandes qualités avec une livraison plutôt rapide
Merciiii ❤️",5,"Bravo shein Shein reste un concurrent très sérieux sur le marché français, contre la vie chère avec des produits de grandes qualités avec une livraison plutôt rapide
Merciiii ❤️",1,fr,bravo shein shein reste concurrent très sérieux marché français contre vie chère produits grandes qualités livraison plutôt rapide merciiii ❤️
Envois rapide,Envois rapide. Livraison au top.,5,Envois rapide Envois rapide. Livraison au top.,1,fr,envois rapide envois rapide livraison top
Réf exactes,Date de l'expérience: 08 avril 2025,5,Réf exactes Date de l'expérience: 08 avril 2025,1,fr,réf exactes date lexpérience 08 avril 2025
rapidité de livraison,"rapidité de livraison, produits corrects",5,"rapidité de livraison rapidité de livraison, produits corrects",1,fr,rapidité livraison rapidité livraison produits corrects
Ma commande m’a réjoui le coeur ♥️,Ma commande m’a réjoui le coeur ♥️,5,Ma commande m’a réjoui le coeur ♥️ Ma commande m’a réjoui le coeur ♥️,1,fr,commande ’ a réjoui coeur ♥️ commande ’ a réjoui coeur ♥️
Super rapport qualité prix,Livraison rapide produit conforme à la photo,5,Super rapport qualité prix Livraison rapide produit conforme à la photo,1,fr,super rapport qualité prix livraison rapide produit conforme photo
Problème de livraison,Tout était parfait au niveau de la commande. Seulement la livraison a été très longue et nous avons loupé un évènement important pour ma fille car elle n'a pas reçu sa commande en tant et en heure.,5,Problème de livraison Tout était parfait au niveau de la commande. Seulement la livraison a été très longue et nous avons loupé un évènement important pour ma fille car elle n'a pas reçu sa commande en tant et en heure.,1,fr,problème livraison tout parfait niveau commande seulement livraison très longue loupé évènement important fille car na reçu commande tant heure
Petits prix,"Petits prix
Grand choix de grande taille
Bonne qualité dans l’ensemble",5,"Petits prix Petits prix
Grand choix de grande taille
Bonne qualité dans l’ensemble",1,fr,petits prix petits prix grand choix grande taille bonne qualité ’ ensemble
Appréciation SHEIN,"Ce que j’apprécie chez SHEIN, c’est que je trouve tout ce dont j’ai besoin pour ma maison et bien pour autres choses , je peux habiller toute ma petite famille, et les commandes arrivent rapidement, vraiment bravo SHEIN !",5,"Appréciation SHEIN Ce que j’apprécie chez SHEIN, c’est que je trouve tout ce dont j’ai besoin pour ma maison et bien pour autres choses , je peux habiller toute ma petite famille, et les commandes arrivent rapidement, vraiment bravo SHEIN !",1,fr,appréciation shein ’ apprécie chez shein ’ trouve tout dont ’ besoin maison bien autres choses peux habiller toute petite famille commandes arrivent rapidement vraiment bravo shein
Colis déposé à la mauvaise adresse,"Colis déposé à la mauvaise adresse, rien est fait .",1,"Colis déposé à la mauvaise adresse Colis déposé à la mauvaise adresse, rien est fait .",0,fr,colis déposé mauvaise adresse colis déposé mauvaise adresse rien fait
assez rapide,Date de l'expérience: 22 avril 2025,5,assez rapide Date de l'expérience: 22 avril 2025,1,fr,assez rapide date lexpérience 22 avril 2025
Très bien,Un peu grand tissus un peu léger,4,Très bien Un peu grand tissus un peu léger,1,fr,très bien peu grand tissus peu léger
Après plusieurs années de fidélité j'ai…,"Après plusieurs années de fidélité j'ai décider de supprimer mon compte Shein, la raison: suite à un retour d'article j'ai demandé un remboursement sur le portefeuille Shein, le remboursement à été effectué sans problème sauf que 1 semaine plus tard mon crédit retombe à zéro, je contacte le service clientèle en précisant qu'il s'agit de mon argent et non d'un crédit cadeau, mais celui ci ne veut rien savoir et refuse de me recredité en prétextant que j'ai eu suffisamment de temps pour passer commande... j'insiste et le comble on me dit que tout à été fait pour me satisfaire. Je répond à cela que rien n'a été fait pour me satisfaire et que je décide de quitter l'appli.
Comme si cela ne suffisait pas 1 semaine plus tard je décide quand même de passer commande pour ma maman et là surprise tout mes paiements sont refusés,après plusieurs tentatives j'ai tout simplement décider de supprimer mon compte adieu Shein.",1,"Après plusieurs années de fidélité j'ai… Après plusieurs années de fidélité j'ai décider de supprimer mon compte Shein, la raison: suite à un retour d'article j'ai demandé un remboursement sur le portefeuille Shein, le remboursement à été effectué sans problème sauf que 1 semaine plus tard mon crédit retombe à zéro, je contacte le service clientèle en précisant qu'il s'agit de mon argent et non d'un crédit cadeau, mais celui ci ne veut rien savoir et refuse de me recredité en prétextant que j'ai eu suffisamment de temps pour passer commande... j'insiste et le comble on me dit que tout à été fait pour me satisfaire. Je répond à cela que rien n'a été fait pour me satisfaire et que je décide de quitter l'appli.
Comme si cela ne suffisait pas 1 semaine plus tard je décide quand même de passer commande pour ma maman et là surprise tout mes paiements sont refusés,après plusieurs tentatives j'ai tout simplement décider de supprimer mon compte adieu Shein.",0,fr,après plusieurs années fidélité jai… après plusieurs années fidélité jai décider supprimer compte shein raison suite retour darticle jai demandé remboursement portefeuille shein remboursement effectué sans problème sauf 1 semaine plus tard crédit retombe zéro contacte service clientèle précisant quil sagit argent non dun crédit cadeau celui ci veut rien savoir refuse recredité prétextant jai suffisamment temps passer commande jinsiste comble dit tout fait satisfaire répond cela rien na fait satisfaire décide quitter lappli comme si cela suffisait 1 semaine plus tard décide quand passer commande maman là surprise tout paiements refusésaprès plusieurs tentatives jai tout simplement décider supprimer compte adieu shein
Bonne qualité des produits,"Bonne qualité des produits
Rarement déçue
Livraison correcte et plutôt rapide",5,"Bonne qualité des produits Bonne qualité des produits
Rarement déçue
Livraison correcte et plutôt rapide",1,fr,bonne qualité produits bonne qualité produits rarement déçue livraison correcte plutôt rapide
Très bonne expérience,Très bonne expérience,5,Très bonne expérience Très bonne expérience,1,fr,très bonne expérience très bonne expérience
La commande correspond à mes attentes,Date de l'expérience: 22 avril 2025,5,La commande correspond à mes attentes Date de l'expérience: 22 avril 2025,1,fr,commande correspond attentes date lexpérience 22 avril 2025
Livraison trop longue,Livraison trop longue,4,Livraison trop longue Livraison trop longue,1,fr,livraison trop longue livraison trop longue
Très bon rapport qualité prix.rapidite…,Très bon rapport qualité prix.rapidite .multitudes de choix pour toute la famille .,5,Très bon rapport qualité prix.rapidite… Très bon rapport qualité prix.rapidite .multitudes de choix pour toute la famille .,1,fr,très bon rapport qualité prixrapidite… très bon rapport qualité prixrapidite multitudes choix toute famille
Parfait,La qualité des articles s’améliore et le service client très réactif,5,Parfait La qualité des articles s’améliore et le service client très réactif,1,fr,parfait qualité articles ’ améliore service client très réactif
Commande passée sans soucis et reçu…,"Commande passée sans soucis et reçu dans les délais.
Je vérifie à chaque fois les matières et les avis des autres clients surtout les photos pour être sûr de la qualité,de la taille et des couleurs.
Plusieurs commandes faites sans problème.",4,"Commande passée sans soucis et reçu… Commande passée sans soucis et reçu dans les délais.
Je vérifie à chaque fois les matières et les avis des autres clients surtout les photos pour être sûr de la qualité,de la taille et des couleurs.
Plusieurs commandes faites sans problème.",1,fr,commande passée sans soucis reçu… commande passée sans soucis reçu délais vérifie chaque fois matières avis autres clients surtout photos être sûr qualitéde taille couleurs plusieurs commandes faites sans problème
Très bon site qui rembourse facilement…,Très bon site qui rembourse facilement si les articles ne sont pas bons. Article arrivé entre 8 et 15 jours si dépasse un mois il donne bon de 5 euro,5,Très bon site qui rembourse facilement… Très bon site qui rembourse facilement si les articles ne sont pas bons. Article arrivé entre 8 et 15 jours si dépasse un mois il donne bon de 5 euro,1,fr,très bon site rembourse facilement… très bon site rembourse facilement si articles bons article arrivé entre 8 15 jours si dépasse mois donne bon 5 euro
Tout parfait,Date de l'expérience: 08 avril 2025,5,Tout parfait Date de l'expérience: 08 avril 2025,1,fr,tout parfait date lexpérience 08 avril 2025
Parfait,"Pas chère
Beau
Dans mes attentes",5,"Parfait Pas chère
Beau
Dans mes attentes",1,fr,parfait chère beau attentes
Bonjour j’aime beaucoup shien vous êtes…,Bonjour j’aime beaucoup shien vous êtes les meilleurs ❤️LOVE LOVE LOVE LOVE LOVE❤️,5,Bonjour j’aime beaucoup shien vous êtes… Bonjour j’aime beaucoup shien vous êtes les meilleurs ❤️LOVE LOVE LOVE LOVE LOVE❤️,1,fr,bonjour ’ aime beaucoup shien êtes… bonjour ’ aime beaucoup shien meilleurs ❤️love love love love love❤️
👍👍👍👍,"Site fiable,prix raisonnable",5,"👍👍👍👍 Site fiable,prix raisonnable",1,fr,👍👍👍👍 site fiableprix raisonnable
livraison rapide,livraison rapide,5,livraison rapide livraison rapide,1,fr,livraison rapide livraison rapide
Le colis est bien arrivé à temps ce…,Le colis est bien arrivé à temps ce côté pas de soucis mais les habits ne sont pas de la qualité je suis déçue 😞 😞,1,Le colis est bien arrivé à temps ce… Le colis est bien arrivé à temps ce côté pas de soucis mais les habits ne sont pas de la qualité je suis déçue 😞 😞,0,fr,colis bien arrivé temps ce… colis bien arrivé temps côté soucis habits qualité déçue 😞 😞
HONTEUX,"HONTEUX ! Colis JAMAIS reçu ! SERVICE CLIENT INEXISTANT ILS ESQUIVENT LE CONTACT ! ILS NE RÉSOUT PAS LE PROBLÈME ET DE PLUS ILS ENLÈVENT LE CHOIX DE CONTACT VIA LE CHAT , ILS Y A QUE LA CASE « CONTACTER VIA LE FORMULAIRE »!!! J’AI TOUTE LES CAPTURES D’ÉCRAN DONC ÇA NE SERT À RIEN DE ME RÉPONDRE SUR TRUSTPILOT SACHANT QUE VOUS ESQUIVEZ QUAND ON VOUS CONTACT AU SERVICE CLIENT",1,"HONTEUX HONTEUX ! Colis JAMAIS reçu ! SERVICE CLIENT INEXISTANT ILS ESQUIVENT LE CONTACT ! ILS NE RÉSOUT PAS LE PROBLÈME ET DE PLUS ILS ENLÈVENT LE CHOIX DE CONTACT VIA LE CHAT , ILS Y A QUE LA CASE « CONTACTER VIA LE FORMULAIRE »!!! J’AI TOUTE LES CAPTURES D’ÉCRAN DONC ÇA NE SERT À RIEN DE ME RÉPONDRE SUR TRUSTPILOT SACHANT QUE VOUS ESQUIVEZ QUAND ON VOUS CONTACT AU SERVICE CLIENT",0,fr,honteux honteux colis jamais reçu service client inexistant esquivent contact résout problème plus enlèvent choix contact via chat a case « contacter via formulaire » ’ toute captures ’ écran donc ça sert rien répondre trustpilot sachant esquivez quand contact service client
Envoi du colis très rapide,"Envoi du colis très rapide, sur SHEIN on y trouve de très bons produits de bonne qualité. Je recommande ce site.",5,"Envoi du colis très rapide Envoi du colis très rapide, sur SHEIN on y trouve de très bons produits de bonne qualité. Je recommande ce site.",1,fr,envoi colis très rapide envoi colis très rapide shein trouve très bons produits bonne qualité recommande site
Commande facile à faire,Commande facile à faire. Par contre la livraison un peu longue. Cependant les vêtements tombent tres bien k et les tailles correspondent bien.,5,Commande facile à faire Commande facile à faire. Par contre la livraison un peu longue. Cependant les vêtements tombent tres bien k et les tailles correspondent bien.,1,fr,commande facile faire commande facile faire contre livraison peu longue cependant vêtements tombent tres bien tailles correspondent bien
J'ai bien aimé mon expérience d'achat,"J'ai bien aimé mon expérience d'achat, j'ai reçu des articles de bonne qualité et j'ai même pu renvoyer un produit trop grand très facilement !",5,"J'ai bien aimé mon expérience d'achat J'ai bien aimé mon expérience d'achat, j'ai reçu des articles de bonne qualité et j'ai même pu renvoyer un produit trop grand très facilement !",1,fr,jai bien aimé expérience dachat jai bien aimé expérience dachat jai reçu articles bonne qualité jai pu renvoyer produit trop grand très facilement
Satisfaction,"Les articles sont exactement comme sur la photo, je suis contente de mon achat.",5,"Satisfaction Les articles sont exactement comme sur la photo, je suis contente de mon achat.",1,fr,satisfaction articles exactement comme photo contente achat
Pas bien la veste petite,Pas bien la veste petite,1,Pas bien la veste petite Pas bien la veste petite,0,fr,bien veste petite bien veste petite
Une expérience géniale,"Une expérience géniale, un bon site , des bons plans merci SHEIN",5,"Une expérience géniale Une expérience géniale, un bon site , des bons plans merci SHEIN",1,fr,expérience géniale expérience géniale bon site bons plans merci shein
Bien,Toujours contente,5,Bien Toujours contente,1,fr,bien toujours contente
Meilleur site de tous les temps ♥️,Livraison express est vraiment express shein a sauvé mon anniversaire ♥️🫶 j’ai été livré le matin de mon anniversaire sachant que j’avais commandé 5jours avant mais finalement c’est arrivé,5,Meilleur site de tous les temps ♥️ Livraison express est vraiment express shein a sauvé mon anniversaire ♥️🫶 j’ai été livré le matin de mon anniversaire sachant que j’avais commandé 5jours avant mais finalement c’est arrivé,1,fr,meilleur site tous temps ♥️ livraison express vraiment express shein sauvé anniversaire ♥️🫶 ’ livré matin anniversaire sachant ’ commandé 5jours avant finalement ’ arrivé
Ravie heureuse,Tout est parfait !!,5,Ravie heureuse Tout est parfait !!,1,fr,ravie heureuse tout parfait
Ravie de shein par la diversité des…,"Ravie de shein par la diversité des habits , bijoux , déco et tous les accessoires de beauté ainsi que plein plein d'autres choses. Shein ma même remboursé une paire de baskets que je voulais retourner. Seul problème ils ne remboursent pas tout comme leur grand concurrent temu qui eux remboursent tout .",5,"Ravie de shein par la diversité des… Ravie de shein par la diversité des habits , bijoux , déco et tous les accessoires de beauté ainsi que plein plein d'autres choses. Shein ma même remboursé une paire de baskets que je voulais retourner. Seul problème ils ne remboursent pas tout comme leur grand concurrent temu qui eux remboursent tout .",1,fr,ravie shein diversité des… ravie shein diversité habits bijoux déco tous accessoires beauté ainsi plein plein dautres choses shein remboursé paire baskets voulais retourner seul problème remboursent tout comme grand concurrent temu remboursent tout
Les delais de livraison sont depuis un…,Les delais de livraison sont depuis un moment plus que respecté ! Topissime,5,Les delais de livraison sont depuis un… Les delais de livraison sont depuis un moment plus que respecté ! Topissime,1,fr,delais livraison depuis un… delais livraison depuis moment plus respecté topissime
Livraison rapide et très bien emballé,Je recommande vivement rapide efficace avec un bon prix,5,Livraison rapide et très bien emballé Je recommande vivement rapide efficace avec un bon prix,1,fr,livraison rapide très bien emballé recommande vivement rapide efficace bon prix
Très grande satisfaction,"Cela fait des mois que je commande chez Shein J'ai toujours été satisfaite de mes achats : taille correcte, bonne qualité du tissu, pointure conforme Délai de livraison assez court Retour , très rare, facile à effectuer et remboursement rapide Je suis totalement satisfaite de Shein",5,"Très grande satisfaction Cela fait des mois que je commande chez Shein J'ai toujours été satisfaite de mes achats : taille correcte, bonne qualité du tissu, pointure conforme Délai de livraison assez court Retour , très rare, facile à effectuer et remboursement rapide Je suis totalement satisfaite de Shein",1,fr,très grande satisfaction cela fait mois commande chez shein jai toujours satisfaite achats taille correcte bonne qualité tissu pointure conforme délai livraison assez court retour très rare facile effectuer remboursement rapide totalement satisfaite shein
Merci pour vos produits et prix…,Merci pour vos produits et prix attractifs,5,Merci pour vos produits et prix… Merci pour vos produits et prix attractifs,1,fr,merci produits prix… merci produits prix attractifs
Livraison rapide,"Livraison rapide, mais un article ne vas pas du tout, mais tant pis et un autre ou c'est moi je pense qui est fait une erreur",2,"Livraison rapide Livraison rapide, mais un article ne vas pas du tout, mais tant pis et un autre ou c'est moi je pense qui est fait une erreur",0,fr,livraison rapide livraison rapide article vas tout tant pis autre cest pense fait erreur
Il faut juste regarder les avis et voir…,Il faut juste regarder les avis et voir si l’article vous convient ou pas. Sinon rien à dire les articles sont livrés plus tôt que la date prévue😍🥰,5,Il faut juste regarder les avis et voir… Il faut juste regarder les avis et voir si l’article vous convient ou pas. Sinon rien à dire les articles sont livrés plus tôt que la date prévue😍🥰,1,fr,faut juste regarder avis voir… faut juste regarder avis voir si ’ article convient sinon rien dire articles livrés plus tôt date prévue😍🥰
On n'est pas déçu suite au commande,Date de l'expérience: 22 avril 2025,5,On n'est pas déçu suite au commande Date de l'expérience: 22 avril 2025,1,fr,nest déçu suite commande date lexpérience 22 avril 2025
