Title,Body,text,language,clean_text
I'm having a hard time returning items,"I'm having a hard time returning items, I put in all of the required info and it keeps going back to the previous page. Can't find any phone number for customer service. I need some assistance with returning some items before my exp date comes. I have did returns to Shein several times","I'm having a hard time returning items I'm having a hard time returning items, I put in all of the required info and it keeps going back to the previous page. Can't find any phone number for customer service. I need some assistance with returning some items before my exp date comes. I have did returns to Shein several times",en,im hard time returning items im hard time returning items put required info keeps going back previous page cant find phone number customer service need assistance returning items exp date comes returns shein several times
If I could give 0 stars I would,"If I could give 0 stars I would. I reached out to shein almost 2 months ago regarding a parcel I never received, the customer service 'manager' Rey told me he will not reship, credit or refund my order even though I never received it and it was over $100 Canadian. It was mainly clothing for my 4 year old daughter. I am extremely dissappinted that they will bot provide any resolution as I order from them regularly. DO NOT ORDER FRON THIS COMPANY. Rey has been extremely unprofessional and unhelpful for almost 1 months and I have been nothing but kind","If I could give 0 stars I would If I could give 0 stars I would. I reached out to shein almost 2 months ago regarding a parcel I never received, the customer service 'manager' Rey told me he will not reship, credit or refund my order even though I never received it and it was over $100 Canadian. It was mainly clothing for my 4 year old daughter. I am extremely dissappinted that they will bot provide any resolution as I order from them regularly. DO NOT ORDER FRON THIS COMPANY. Rey has been extremely unprofessional and unhelpful for almost 1 months and I have been nothing but kind",en,could give 0 stars would could give 0 stars would reached shein almost 2 months ago regarding parcel never received customer service manager rey told reship credit refund order even though never received 100 canadian mainly clothing 4 year old daughter extremely dissappinted bot provide resolution order regularly order fron company rey extremely unprofessional unhelpful almost 1 months nothing kind
Excellent !!,"Date of experience: March 20, 2025","Excellent !! Date of experience: March 20, 2025",en,excellent date experience march 20 2025
What a Robbing,"What a Robbing! Shein Club price is 6.99$ for quarterly, and they are charging now 9.99$.
Beside, every new user user should get Free Shipping, but they are charging 3.99$.
We should file against him! Fully scam! Already many report against this company.
No solution from support team.","What a Robbing What a Robbing! Shein Club price is 6.99$ for quarterly, and they are charging now 9.99$.
Beside, every new user user should get Free Shipping, but they are charging 3.99$.
We should file against him! Fully scam! Already many report against this company.
No solution from support team.",en,robbing robbing shein club price 699 quarterly charging 999 beside every new user user get free shipping charging 399 file fully scam already many report company solution support team
J'aime bien l'application shein,"Date of experience: March 18, 2025","J'aime bien l'application shein Date of experience: March 18, 2025",en,jaime bien lapplication shein date experience march 18 2025
Zero stars,"Zero stars tbh, I created 2 orders, one March 12 and the order one on March 13. The one for March 13, I paid regular shipping and its already on its way but the one from March 12th, I paid the express shipping which its $12, it hasn't even left their warehouse, I just keep receiving shipping delay emails like come on, I asked for a refund on the shipping express to change it to the regular shipping, IT GOT DENIED like WTF!? I paid for faster shipping, its been 7 days it hasnt even left the warehouse. I've never had a problem like this before, its ridiculous that they cannot solve this issue. I reached out to the customer service and besides telling me that the refund cannot be issued, suppostedly they were gonna escalate this, this message was from today in the morning and now at 11:07 I'm receiving another email delayed!? Like come on, I tried cancelling the whole order and it doesnt even let you do it, it immediately goes to ""keep waiting"" like no, I paid express shipping bc it usually the whole proccess takes a week and week an a half to received the items or sometimes even sooner but this is just a joke and waste of time. I WANT A REFUND BACK! Again ZERO STARS.","Zero stars Zero stars tbh, I created 2 orders, one March 12 and the order one on March 13. The one for March 13, I paid regular shipping and its already on its way but the one from March 12th, I paid the express shipping which its $12, it hasn't even left their warehouse, I just keep receiving shipping delay emails like come on, I asked for a refund on the shipping express to change it to the regular shipping, IT GOT DENIED like WTF!? I paid for faster shipping, its been 7 days it hasnt even left the warehouse. I've never had a problem like this before, its ridiculous that they cannot solve this issue. I reached out to the customer service and besides telling me that the refund cannot be issued, suppostedly they were gonna escalate this, this message was from today in the morning and now at 11:07 I'm receiving another email delayed!? Like come on, I tried cancelling the whole order and it doesnt even let you do it, it immediately goes to ""keep waiting"" like no, I paid express shipping bc it usually the whole proccess takes a week and week an a half to received the items or sometimes even sooner but this is just a joke and waste of time. I WANT A REFUND BACK! Again ZERO STARS.",en,zero stars zero stars tbh created 2 orders one march 12 order one march 13 one march 13 paid regular shipping already way one march 12th paid express shipping 12 hasnt even left warehouse keep receiving shipping delay emails like come asked refund shipping express change regular shipping got denied like wtf paid faster shipping 7 days hasnt even left warehouse ive never problem like ridiculous solve issue reached customer service besides telling refund issued suppostedly gon na escalate message today morning 1107 im receiving another email delayed like come tried cancelling whole order doesnt even let immediately goes keep waiting like paid express shipping bc usually whole proccess takes week week half received items sometimes even sooner joke waste time want refund back zero stars
Never Again,"I would give zero stars if I could. I placed an order February 27th, and still haven't received it, and it's March 19th. Reached out several times requesting to cancel for refund and was told the delivery company is backed up. Not my fault. Reached out again was told to check back on the 20th if Ihaven't received it. I've already ordered and received replacement items elsewhere. Just refund me already. I'll be returning the order anyway if I ever to get it. They gave 500 points for the inconvenience. They can keep that, I'm not ordering from them again.","Never Again I would give zero stars if I could. I placed an order February 27th, and still haven't received it, and it's March 19th. Reached out several times requesting to cancel for refund and was told the delivery company is backed up. Not my fault. Reached out again was told to check back on the 20th if Ihaven't received it. I've already ordered and received replacement items elsewhere. Just refund me already. I'll be returning the order anyway if I ever to get it. They gave 500 points for the inconvenience. They can keep that, I'm not ordering from them again.",en,never would give zero stars could placed order february 27th still havent received march 19th reached several times requesting cancel refund told delivery company backed fault reached told check back 20th ihavent received ive already ordered received replacement items elsewhere refund already ill returning order anyway ever get gave 500 points inconvenience keep im ordering
That people is trust and a great,Free books for womens,That people is trust and a great Free books for womens,en,people trust great free books womens
Super!,Super!!!!!!,Super! Super!!!!!!,en,super super
Middle of March 2025First and last time of ordering here,"First and last time of ordering here. What a con. I could have bought everything, no exaggeration, in Poundland. The costs were confusing to me especially with all the advertising for points and whatever else interruptions. Plus delivery takes ages. They must be laughing at us over in China.","Middle of March 2025First and last time of ordering here First and last time of ordering here. What a con. I could have bought everything, no exaggeration, in Poundland. The costs were confusing to me especially with all the advertising for points and whatever else interruptions. Plus delivery takes ages. They must be laughing at us over in China.",en,middle march 2025first last time ordering first last time ordering con could bought everything exaggeration poundland costs confusing especially advertising points whatever else interruptions plus delivery takes ages must laughing us china
shein.com i ordered a dress on march 4 and pain…,"i ordered a dress on march 4 by( shein.com )and pain immediately , i didn't receive the order number e-mail or phone , but i still haven't received it on 19th i don't know when i can receive my dress ?????

hello can you help me find my order ? i paid 13.75 euros to this bank NL04ADYB2017 4001 57 name: shein.com feature number: 7180 4851 7999 5133 description:CX74PMS95NPJBZF62GJTV i hoop shein can send dress for my","shein.com i ordered a dress on march 4 and pain… i ordered a dress on march 4 by( shein.com )and pain immediately , i didn't receive the order number e-mail or phone , but i still haven't received it on 19th i don't know when i can receive my dress ?????

hello can you help me find my order ? i paid 13.75 euros to this bank NL04ADYB2017 4001 57 name: shein.com feature number: 7180 4851 7999 5133 description:CX74PMS95NPJBZF62GJTV i hoop shein can send dress for my",en,sheincom ordered dress march 4 pain… ordered dress march 4 sheincom pain immediately didnt receive order number email phone still havent received 19th dont know receive dress hello help find order paid 1375 euros bank nl04adyb2017 4001 57 name sheincom feature number 7180 4851 7999 5133 descriptioncx74pms95npjbzf62gjtv hoop shein send dress
Point relais donné par SHEIN refuse le…,"Point relais donné par SHEIN refuse le paquet
Donc il faut annuler ce point relais !","Point relais donné par SHEIN refuse le… Point relais donné par SHEIN refuse le paquet
Donc il faut annuler ce point relais !",en,point relais donné par shein refuse le… point relais donné par shein refuse le paquet donc il faut annuler ce point relais
Item listed was not in stock,"They showed the item I wanted was in stock, let me place the order and said the order was being ""processed."" I clicked order status and it said the item was sold out and they don't know when or if it will be back in stock. Maybe, don't list things on your site that aren't in stock? And don't let an order go through if the item is out of stock?","Item listed was not in stock They showed the item I wanted was in stock, let me place the order and said the order was being ""processed."" I clicked order status and it said the item was sold out and they don't know when or if it will be back in stock. Maybe, don't list things on your site that aren't in stock? And don't let an order go through if the item is out of stock?",en,item listed stock showed item wanted stock let place order said order processed clicked order status said item sold dont know back stock maybe dont list things site arent stock dont let order go item stock
NO MORE,NO MORE. We used to buy from Shein all the time but they are dishonest and won't refund your money when their shipping company screws up. $157 down the drain. No items and no refund. They're terrible and we won't be buying from them again. They do NOT do the right thing. They should take the money from their crappy shipping company! Trying to go through customer service is a joke!,NO MORE NO MORE. We used to buy from Shein all the time but they are dishonest and won't refund your money when their shipping company screws up. $157 down the drain. No items and no refund. They're terrible and we won't be buying from them again. They do NOT do the right thing. They should take the money from their crappy shipping company! Trying to go through customer service is a joke!,en,used buy shein time dishonest wont refund money shipping company screws 157 drain items refund theyre terrible wont buying right thing take money crappy shipping company trying go customer service joke
NO WAY WOULD I EVER ORDER FROM HERE!!,They use a delivering service called Speed X. And they are horrible liars. They do not deliver your products. They find some type of reason to say they can't get into your home. You can even go on to speak to anyone. Check the reviews on trust pilot and you will see no one is getting there packages. I'm not Ever ordering from this company? I do not like the delivering service that they use.,NO WAY WOULD I EVER ORDER FROM HERE!! They use a delivering service called Speed X. And they are horrible liars. They do not deliver your products. They find some type of reason to say they can't get into your home. You can even go on to speak to anyone. Check the reviews on trust pilot and you will see no one is getting there packages. I'm not Ever ordering from this company? I do not like the delivering service that they use.,en,way would ever order use delivering service called speed horrible liars deliver products find type reason say cant get home even go speak anyone check reviews trust pilot see one getting packages im ever ordering company like delivering service use
NOW I JUST CHECKED IN!,"NOW I JUST CHECKED IN!, IT'S NOW UNDER $2.OO WHEN I CHECKED IN YESTERDAY?? WTF?? BEEN LIKE THIS LAST 2 WEEKS!!","NOW I JUST CHECKED IN! NOW I JUST CHECKED IN!, IT'S NOW UNDER $2.OO WHEN I CHECKED IN YESTERDAY?? WTF?? BEEN LIKE THIS LAST 2 WEEKS!!",en,checked checked 2oo checked yesterday wtf like last 2 weeks
Unsatisfied Customer 😡😡😡😡😡,Ordered from Shein and their delivery company speedex delivered to the wrong address. The pictures that were taken were not my home. Speedex investigated and they as well concluded that i never received package. Speedex sent an email confirming. They asked me to reach out to Shein so they can either refund me or ship my package again. I did contact shein sent them proof and the email from their delivery company and they are refusing to refund or reship my packages. Very disappointing as a Customer and unfair for them to have their customers to pay for their mistakes Very upset will report to better business bureau and my credit card company! Shein do not say contact customer service when they are who denied me 😡,Unsatisfied Customer 😡😡😡😡😡 Ordered from Shein and their delivery company speedex delivered to the wrong address. The pictures that were taken were not my home. Speedex investigated and they as well concluded that i never received package. Speedex sent an email confirming. They asked me to reach out to Shein so they can either refund me or ship my package again. I did contact shein sent them proof and the email from their delivery company and they are refusing to refund or reship my packages. Very disappointing as a Customer and unfair for them to have their customers to pay for their mistakes Very upset will report to better business bureau and my credit card company! Shein do not say contact customer service when they are who denied me 😡,en,unsatisfied customer 😡😡😡😡😡 ordered shein delivery company speedex delivered wrong address pictures taken home speedex investigated well concluded never received package speedex sent email confirming asked reach shein either refund ship package contact shein sent proof email delivery company refusing refund reship packages disappointing customer unfair customers pay mistakes upset report better business bureau credit card company shein say contact customer service denied 😡
False Advertising and Unreliable,"False Advertising and Unreliable. Promised a voucher upon sign up and first purchase. After completing it was never received. Then promised another discount and free item if referring a friend that signs up. Confirmed with friends they signed up but just as before it disappeared and nothing was given. Even worse they substituted an item I had ordered with a different one as part of the ""offer"". After first experience, I won't be using again I have had a terrible experience and Shein clearly cannot be trusted.","False Advertising and Unreliable False Advertising and Unreliable. Promised a voucher upon sign up and first purchase. After completing it was never received. Then promised another discount and free item if referring a friend that signs up. Confirmed with friends they signed up but just as before it disappeared and nothing was given. Even worse they substituted an item I had ordered with a different one as part of the ""offer"". After first experience, I won't be using again I have had a terrible experience and Shein clearly cannot be trusted.",en,false advertising unreliable false advertising unreliable promised voucher upon sign first purchase completing never received promised another discount free item referring friend signs confirmed friends signed disappeared nothing given even worse substituted item ordered different one part offer first experience wont using terrible experience shein clearly trusted
Just received my third or fourth order…,"Just received my third or fourth order from SHEIN.
My order came a week early so that is awesome.
Everything I have ordered is beautiful.
Can’t wait to make another order !
GREAT JOB SHEIN !!","Just received my third or fourth order… Just received my third or fourth order from SHEIN.
My order came a week early so that is awesome.
Everything I have ordered is beautiful.
Can’t wait to make another order !
GREAT JOB SHEIN !!",en,received third fourth order… received third fourth order shein order came week early awesome everything ordered beautiful ’ wait make another order great job shein
Complaint,"I know this is not the site to explain my experience, but I could not find any other.

I registered as a agent for Shein.
1. The agent told me to deposit R100, I will get a R60 joining bonus, I did my first order, successful, I received R190.
2. They told me to deposit R550, which I did, I will do 4 tasks and receive R2300.......don't believe it, after I did 3 tasks they said I must deposit a further R2000 to be able to complete the 4th task. Well for somebody who is unemployed, where must I get that kind of money.

No the account is frozen, I can't get my R550 back and they just say its the system, it will not refund.

Whoever is considering joining Shein as an ""AGENT"" think again, its a scam.

Just to be sure, I am not disliking Shein for their site or service....but think twice before you join as a ""Agent""","Complaint I know this is not the site to explain my experience, but I could not find any other.

I registered as a agent for Shein.
1. The agent told me to deposit R100, I will get a R60 joining bonus, I did my first order, successful, I received R190.
2. They told me to deposit R550, which I did, I will do 4 tasks and receive R2300.......don't believe it, after I did 3 tasks they said I must deposit a further R2000 to be able to complete the 4th task. Well for somebody who is unemployed, where must I get that kind of money.

No the account is frozen, I can't get my R550 back and they just say its the system, it will not refund.

Whoever is considering joining Shein as an ""AGENT"" think again, its a scam.

Just to be sure, I am not disliking Shein for their site or service....but think twice before you join as a ""Agent""",en,complaint know site explain experience could find registered agent shein 1 agent told deposit r100 get r60 joining bonus first order successful received r190 2 told deposit r550 4 tasks receive r2300dont believe 3 tasks said must deposit r2000 able complete 4th task well somebody unemployed must get kind money account frozen cant get r550 back say system refund whoever considering joining shein agent think scam sure disliking shein site servicebut think twice join agent
If there was a zero rating,"If there was a zero rating, I would give shein exactly that. I have been a loyal customer for a very long time. I had no bad experience with shein until I made an order recently. Shien uses an incompetent delivery service (Speedx) who delivered my package to a wrong address. I reached out to Shein and even provided my communication with Speedx acknowledging their mistake. Shein's response was that there's nothing they could do for me. It really sucks because I didn't get my items and Shein refused to refund my money. I will never buy from Shein again","If there was a zero rating If there was a zero rating, I would give shein exactly that. I have been a loyal customer for a very long time. I had no bad experience with shein until I made an order recently. Shien uses an incompetent delivery service (Speedx) who delivered my package to a wrong address. I reached out to Shein and even provided my communication with Speedx acknowledging their mistake. Shein's response was that there's nothing they could do for me. It really sucks because I didn't get my items and Shein refused to refund my money. I will never buy from Shein again",en,zero rating zero rating would give shein exactly loyal customer long time bad experience shein made order recently shien uses incompetent delivery service speedx delivered package wrong address reached shein even provided communication speedx acknowledging mistake sheins response theres nothing could really sucks didnt get items shein refused refund money never buy shein
I bought clothes with high…,"I bought clothes with high expectations, but the quality is a complete disaster! On top of that, the company refuses to issue a refund and keeps asking for unnecessary additional evidence. Even though I’ve fulfilled all their requirements, they keep delaying and avoiding responsibility. I don’t know why they even bother if they can’t respect customer rights! This company is incompetent, and the clothes are of poor quality and completely unusable. I definitely do not recommend it to anyone!","I bought clothes with high… I bought clothes with high expectations, but the quality is a complete disaster! On top of that, the company refuses to issue a refund and keeps asking for unnecessary additional evidence. Even though I’ve fulfilled all their requirements, they keep delaying and avoiding responsibility. I don’t know why they even bother if they can’t respect customer rights! This company is incompetent, and the clothes are of poor quality and completely unusable. I definitely do not recommend it to anyone!",en,bought clothes high… bought clothes high expectations quality complete disaster top company refuses issue refund keeps asking unnecessary additional evidence even though ’ fulfilled requirements keep delaying avoiding responsibility ’ know even bother ’ respect customer rights company incompetent clothes poor quality completely unusable definitely recommend anyone
Abominable abomination from the bin…,"Abominable abomination from the bin dippers
Didn't give me free shipping
You will pay for this","Abominable abomination from the bin… Abominable abomination from the bin dippers
Didn't give me free shipping
You will pay for this",en,abominable abomination bin… abominable abomination bin dippers didnt give free shipping pay
Multiple orders over the years always a…,Multiple orders over the years always a pleasant experience,Multiple orders over the years always a… Multiple orders over the years always a pleasant experience,en,multiple orders years always a… multiple orders years always pleasant experience
Pleasantly surprised,Pleasantly surprised! Ordered approx 30 items all delivered in about a week. Mostly clothes and shoes. Everything was just as described. Very impressed with the quality for the price. All but 2 items fit. Return process seems easy enough. I will update on how it goes!,Pleasantly surprised Pleasantly surprised! Ordered approx 30 items all delivered in about a week. Mostly clothes and shoes. Everything was just as described. Very impressed with the quality for the price. All but 2 items fit. Return process seems easy enough. I will update on how it goes!,en,pleasantly surprised pleasantly surprised ordered approx 30 items delivered week mostly clothes shoes everything described impressed quality price 2 items fit return process seems easy enough update goes
Reap off,"I brought an item that is supposed to be four pieces and just one piece was sent to me. Messaged SHEIN and requested for some more information which I sent to them, only for SHEIN saying i will be refunded 50% of my money back or send them the item back.
I would have send the item back but unfortunately I’ve distroyed the bags and the storage pack that came with it. My refund should be 75% not 50%. I’m getting my 75% refund or they should send me back my remaining items. Reaping people off. If this is not sort out the will continue to a bigger amount. I’m really shocked at this. Please make sure you have all your packages in proper order when you order from SHEIN because they are reaping people off. Bother workers and customers. shame on you","Reap off I brought an item that is supposed to be four pieces and just one piece was sent to me. Messaged SHEIN and requested for some more information which I sent to them, only for SHEIN saying i will be refunded 50% of my money back or send them the item back.
I would have send the item back but unfortunately I’ve distroyed the bags and the storage pack that came with it. My refund should be 75% not 50%. I’m getting my 75% refund or they should send me back my remaining items. Reaping people off. If this is not sort out the will continue to a bigger amount. I’m really shocked at this. Please make sure you have all your packages in proper order when you order from SHEIN because they are reaping people off. Bother workers and customers. shame on you",en,reap brought item supposed four pieces one piece sent messaged shein requested information sent shein saying refunded 50 money back send item back would send item back unfortunately ’ distroyed bags storage pack came refund 75 50 ’ getting 75 refund send back remaining items reaping people sort continue bigger amount ’ really shocked please make sure packages proper order order shein reaping people bother workers customers shame
i am so sad to report,"i am so sad to report, that after so many years fo being a trusted buyer of this retailer... that they have changed for the worse.

they have started only giving a 50% refund for products that do not match the description in the listing.
they are denying to refund me 16$ on a product that does not look like the pictures. doesnt matter how many times i have sent photos that clearly show the diffirence and they only offer me to return for the refund and are taking nearly 5$ for a return fee.
i am shocked.

not only do they keep doing this but they sold me an electronic device for nearly 40$, that does not do what it is supposed to.
the item has illegal and stolen content on it (it is a tv box) and they did not offer to give me a refund right away after plenty of evidence.

they have been waisting my time endlessly due to the time difference. i have to wait 24 hours for one response, that leads to many more, since they are trying so hard to keep the money, instead of trying to keep a trusted customer.

im intensely questioning ordering again and im actually very sad about it. i loved shopping there. but since my money is not any longer safe, i am not confident in ordering there again.

i could easily be helping them to avoid making the same mistake so they can change the info but this is wrong. and this is not fair.","i am so sad to report i am so sad to report, that after so many years fo being a trusted buyer of this retailer... that they have changed for the worse.

they have started only giving a 50% refund for products that do not match the description in the listing.
they are denying to refund me 16$ on a product that does not look like the pictures. doesnt matter how many times i have sent photos that clearly show the diffirence and they only offer me to return for the refund and are taking nearly 5$ for a return fee.
i am shocked.

not only do they keep doing this but they sold me an electronic device for nearly 40$, that does not do what it is supposed to.
the item has illegal and stolen content on it (it is a tv box) and they did not offer to give me a refund right away after plenty of evidence.

they have been waisting my time endlessly due to the time difference. i have to wait 24 hours for one response, that leads to many more, since they are trying so hard to keep the money, instead of trying to keep a trusted customer.

im intensely questioning ordering again and im actually very sad about it. i loved shopping there. but since my money is not any longer safe, i am not confident in ordering there again.

i could easily be helping them to avoid making the same mistake so they can change the info but this is wrong. and this is not fair.",en,sad report sad report many years fo trusted buyer retailer changed worse started giving 50 refund products match description listing denying refund 16 product look like pictures doesnt matter many times sent photos clearly show diffirence offer return refund taking nearly 5 return fee shocked keep sold electronic device nearly 40 supposed item illegal stolen content tv box offer give refund right away plenty evidence waisting time endlessly due time difference wait 24 hours one response leads many since trying hard keep money instead trying keep trusted customer im intensely questioning ordering im actually sad loved shopping since money longer safe confident ordering could easily helping avoid making mistake change info wrong fair
Spent $1000 nearly in 2 weeks of 3…,"Spent $1000 nearly in 2 weeks of 3 different deliveries. Have an issue with a faulty dress missing a tie up tassel front which clearly shows in photo. I request a refund and I have disability so don’t get out of home. I got offered 50% of refund on an item is faulty and I don’t want it. And they’re reply after many times back and forth saying I can’t get out, get a courier of there’s to come pick it up from my place. They said as a reply “I suggest you take the 50% we are offering then”. The worst company in the world!! So disgusting how they treat their clients. Horrible service and I’ll be taking this further as I have all the email on screen shot to complain to fair trading and consumer affairs.","Spent $1000 nearly in 2 weeks of 3… Spent $1000 nearly in 2 weeks of 3 different deliveries. Have an issue with a faulty dress missing a tie up tassel front which clearly shows in photo. I request a refund and I have disability so don’t get out of home. I got offered 50% of refund on an item is faulty and I don’t want it. And they’re reply after many times back and forth saying I can’t get out, get a courier of there’s to come pick it up from my place. They said as a reply “I suggest you take the 50% we are offering then”. The worst company in the world!! So disgusting how they treat their clients. Horrible service and I’ll be taking this further as I have all the email on screen shot to complain to fair trading and consumer affairs.",en,spent 1000 nearly 2 weeks 3… spent 1000 nearly 2 weeks 3 different deliveries issue faulty dress missing tie tassel front clearly shows photo request refund disability ’ get home got offered 50 refund item faulty ’ want ’ reply many times back forth saying ’ get get courier ’ come pick place said reply “ suggest take 50 offering ” worst company world disgusting treat clients horrible service ’ taking email screen shot complain fair trading consumer affairs
Article conforme,Article conforme a leur description envoie rapide,Article conforme Article conforme a leur description envoie rapide,en,article conforme article conforme leur description envoie rapide
Scammed me I haven’t received refund 👎,I normally don’t have any issues with Shein but on this occasion they have failed me as a customer on so many levels I requested refund and sent back all the items I quested refund for on the 27/01/2025 in total I sent back about 6 items I only received refund for 2 purchases I asked customer service to look into this they asked if I could provide receipt I couldn’t find my receipt at first I asked them to look have a look at my account everything has been listed they refused they said they can’t refund me back my money without a refund I got lucky and found my receipt from the post office I sent them proof of my return they said they will look into it they came back saying sorry we can’t help you further this is daylight robbery I can’t believe this normally with any other shop if you provide proof they are supposed too refund you so what’s the point of having a receipt this is ridiculous I have too deal with my health issues and deal with this rubbish this is not the way too treat your customers 👎👎👎👎👎👎👎👎👎👎👎👎,Scammed me I haven’t received refund 👎 I normally don’t have any issues with Shein but on this occasion they have failed me as a customer on so many levels I requested refund and sent back all the items I quested refund for on the 27/01/2025 in total I sent back about 6 items I only received refund for 2 purchases I asked customer service to look into this they asked if I could provide receipt I couldn’t find my receipt at first I asked them to look have a look at my account everything has been listed they refused they said they can’t refund me back my money without a refund I got lucky and found my receipt from the post office I sent them proof of my return they said they will look into it they came back saying sorry we can’t help you further this is daylight robbery I can’t believe this normally with any other shop if you provide proof they are supposed too refund you so what’s the point of having a receipt this is ridiculous I have too deal with my health issues and deal with this rubbish this is not the way too treat your customers 👎👎👎👎👎👎👎👎👎👎👎👎,en,scammed ’ received refund 👎 normally ’ issues shein occasion failed customer many levels requested refund sent back items quested refund 27012025 total sent back 6 items received refund 2 purchases asked customer service look asked could provide receipt ’ find receipt first asked look look account everything listed refused said ’ refund back money without refund got lucky found receipt post office sent proof return said look came back saying sorry ’ help daylight robbery ’ believe normally shop provide proof supposed refund ’ point receipt ridiculous deal health issues deal rubbish way treat customers 👎👎👎👎👎👎👎👎👎👎👎👎
My package is in NJ and it's not going no where.,"My package never made it to Boston why who knows my neighbor got hers on the day my was supposed to be there . I'm so tired of being told to wait til the 20th . No they see I never received it. I hate this I want my package I spent almost 200 dollors. I always wanted to try this place cause my friends love there clothes so I spent almost 200 on first order . I would of shopped more when I got my package it was suppose to be here on the 13 th of March. Then they said give it too the 20th. There send back at the post office is 5 days I don't want it sent back. I guess it's in New Jersey.
I really really want my clothes. I don't want a refund on my order . I want what I ordered .","My package is in NJ and it's not going no where. My package never made it to Boston why who knows my neighbor got hers on the day my was supposed to be there . I'm so tired of being told to wait til the 20th . No they see I never received it. I hate this I want my package I spent almost 200 dollors. I always wanted to try this place cause my friends love there clothes so I spent almost 200 on first order . I would of shopped more when I got my package it was suppose to be here on the 13 th of March. Then they said give it too the 20th. There send back at the post office is 5 days I don't want it sent back. I guess it's in New Jersey.
I really really want my clothes. I don't want a refund on my order . I want what I ordered .",en,package nj going package never made boston knows neighbor got day supposed im tired told wait til 20th see never received hate want package spent almost 200 dollors always wanted try place cause friends love clothes spent almost 200 first order would shopped got package suppose 13 th march said give 20th send back post office 5 days dont want sent back guess new jersey really really want clothes dont want refund order want ordered
Service au top,"Date of experience: March 15, 2025","Service au top Date of experience: March 15, 2025",en,service au top date experience march 15 2025
Love it!,Awesome! Awesome,Love it! Awesome! Awesome,en,love awesome awesome
The item was not true to size like it…,The item was not true to size like it claims. When I tried to get a refund I was unable to. Customer service is lousy,The item was not true to size like it… The item was not true to size like it claims. When I tried to get a refund I was unable to. Customer service is lousy,en,item true size like it… item true size like claims tried get refund unable customer service lousy
Very poor design of the website and…,Very poor design of the website and experience of the site is extremly bad. You cannot change the arabic to english. finding this option is like finding a diamond in deep sea.,Very poor design of the website and… Very poor design of the website and experience of the site is extremly bad. You cannot change the arabic to english. finding this option is like finding a diamond in deep sea.,en,poor design website and… poor design website experience site extremly bad change arabic english finding option like finding diamond deep sea
I love them.,I love them.,I love them. I love them.,en,love love
Super décoration,Super décoration,Super décoration Super décoration,en,super décoration super décoration
They scammed me i refund an item nd I…,They scammed me i refund an item nd I DID NOT GET MY MONEY BACK I DEMAND A REFUND NOWWWWW!!!!!!!!!,They scammed me i refund an item nd I… They scammed me i refund an item nd I DID NOT GET MY MONEY BACK I DEMAND A REFUND NOWWWWW!!!!!!!!!,en,scammed refund item nd i… scammed refund item nd get money back demand refund nowwwww
SHEIN REFUND MY COMPLETE MONEY,"SHEIN , finally refunded my money. I had to go through all the process by chasing INPOST. Shein wasn’t helpful in looking into things carefully. You can do better by tracking with pick up courier’s.","SHEIN REFUND MY COMPLETE MONEY SHEIN , finally refunded my money. I had to go through all the process by chasing INPOST. Shein wasn’t helpful in looking into things carefully. You can do better by tracking with pick up courier’s.",en,shein refund complete money shein finally refunded money go process chasing inpost shein ’ helpful looking things carefully better tracking pick courier ’
Simple et rapide,Simple et rapide,Simple et rapide Simple et rapide,en,simple et rapide simple et rapide
Buyer BEWARE No Refund if delivery delayed,Buyer BEWARE. Should your shipping get delayed and you receive your order after 45 days they will not allow you to return any items even though the fault is on their end.,Buyer BEWARE No Refund if delivery delayed Buyer BEWARE. Should your shipping get delayed and you receive your order after 45 days they will not allow you to return any items even though the fault is on their end.,en,buyer beware refund delivery delayed buyer beware shipping get delayed receive order 45 days allow return items even though fault end
Thanku soooooo much Shein for awesome variety,"Thanku soooooo much Shein for everything
I have 3 girls and shein has mademy life soooooo beautiful and colourful,
My eid festival became so success just because of shein shopping🩷","Thanku soooooo much Shein for awesome variety Thanku soooooo much Shein for everything
I have 3 girls and shein has mademy life soooooo beautiful and colourful,
My eid festival became so success just because of shein shopping🩷",en,thanku soooooo much shein awesome variety thanku soooooo much shein everything 3 girls shein mademy life soooooo beautiful colourful eid festival became success shein shopping🩷
"Beware, thieves!!",Do not order anything from Shein. I paid 200 dollars for tickets to a Gala tonight that I can't go to because of Shein. I ordered a dress to wear that was suppose to be in two weeks ago. It's supposedly lost in the mail. SHEIN has refused to give me my money back so I could go buy another one somewhere else. Beware they are crooks!!!!,"Beware, thieves!! Do not order anything from Shein. I paid 200 dollars for tickets to a Gala tonight that I can't go to because of Shein. I ordered a dress to wear that was suppose to be in two weeks ago. It's supposedly lost in the mail. SHEIN has refused to give me my money back so I could go buy another one somewhere else. Beware they are crooks!!!!",en,beware thieves order anything shein paid 200 dollars tickets gala tonight cant go shein ordered dress wear suppose two weeks ago supposedly lost mail shein refused give money back could go buy another one somewhere else beware crooks
